gen;sp
0;1
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
119;1
120;1
121;1
122;1
123;1
124;1
125;1
126;1
127;1
128;1
129;1
130;1
131;1
132;1
133;1
134;1
135;1
136;1
137;1
138;1
139;1
140;1
141;2
142;2
143;2
144;2
145;2
146;2
147;2
148;1
149;1
150;2
151;2
152;1
153;1
154;1
155;1
156;1
157;1
158;2
159;2
160;2
161;2
162;2
163;2
164;2
165;2
166;2
167;3
168;3
169;3
170;3
171;4
172;4
173;4
174;3
175;4
176;4
177;6
178;5
179;5
180;5
181;5
182;4
183;4
184;4
185;4
186;4
187;5
188;7
189;7
190;7
191;6
192;7
193;6
194;6
195;7
196;7
197;5
198;5
199;5
200;5
201;5
202;5
203;6
204;6
205;6
206;6
207;6
208;6
209;6
210;7
211;6
212;7
213;7
214;7
215;6
216;6
217;7
218;8
219;10
220;9
221;10
222;10
223;9
224;9
225;9
226;9
227;10
228;10
229;10
230;11
231;11
232;11
233;11
234;11
235;11
236;10
237;9
238;10
239;10
240;10
241;10
242;10
243;11
244;11
245;10
246;11
247;11
248;11
249;12
250;12
251;13
252;14
253;13
254;13
255;14
256;13
257;13
258;13
259;12
260;11
261;12
262;13
263;13
264;15
265;15
266;15
267;14
268;14
269;12
270;12
271;12
272;12
273;12
274;12
275;12
276;10
277;10
278;10
279;10
280;10
281;11
282;11
283;11
284;11
285;11
286;11
287;11
288;11
289;10
290;10
291;10
292;12
293;13
294;12
295;12
296;13
297;13
298;13
299;13
300;14
301;14
302;14
303;14
304;14
305;14
306;14
307;14
308;14
309;14
310;14
311;14
312;13
313;13
314;13
315;13
316;12
317;12
318;13
319;11
320;13
321;13
322;13
323;14
324;14
325;14
326;14
327;14
328;13
329;13
330;14
331;14
332;13
333;11
334;12
335;12
336;14
337;15
338;15
339;15
340;15
341;15
342;15
343;16
344;16
345;16
346;15
347;15
348;15
349;15
350;17
351;16
352;16
353;14
354;14
355;15
356;15
357;17
358;18
359;19
360;19
361;19
362;20
363;19
364;19
365;19
366;19
367;19
368;18
369;18
370;18
371;18
372;17
373;17
374;14
375;14
376;14
377;15
378;16
379;16
380;16
381;16
382;15
383;14
384;14
385;15
386;14
387;14
388;15
389;15
390;14
391;14
392;13
393;13
394;13
395;13
396;14
397;14
398;14
399;14
400;14
401;14
402;14
403;14
404;13
405;13
406;13
407;13
408;13
409;13
410;13
411;12
412;12
413;12
414;12
415;12
416;12
417;12
418;12
419;13
420;13
421;14
422;13
423;13
424;13
425;13
426;13
427;13
428;13
429;13
430;11
431;11
432;11
433;12
434;12
435;12
436;12
437;13
438;13
439;13
440;13
441;13
442;13
443;13
444;12
445;12
446;11
447;11
448;11
449;12
450;13
451;12
452;13
453;13
454;12
455;12
456;12
457;12
458;12
459;12
460;12
461;14
462;14
463;13
464;13
465;13
466;13
467;13
468;13
469;13
470;13
471;13
472;13
473;13
474;13
475;13
476;12
477;12
478;12
479;14
480;15
481;15
482;16
483;16
484;16
485;16
486;16
487;17
488;17
489;15
490;15
491;14
492;14
493;14
494;14
495;13
496;13
497;14
498;14
499;14
500;15
501;15
502;16
503;15
504;15
505;15
506;15
507;15
508;14
509;15
510;15
511;15
512;15
513;14
514;13
515;14
516;12
517;12
518;13
519;13
520;14
521;14
522;14
523;14
524;13
525;13
526;11
527;12
528;12
529;12
530;12
531;12
532;12
533;12
534;12
535;12
536;12
537;12
538;12
539;12
540;12
541;12
542;12
543;12
544;12
545;12
546;12
547;12
548;12
549;12
550;12
551;12
552;12
553;12
554;12
555;12
556;12
557;12
558;11
559;11
560;11
561;11
562;10
563;10
564;10
565;10
566;10
567;10
568;10
569;10
570;11
571;11
572;10
573;12
574;12
575;11
576;11
577;11
578;12
579;11
580;11
581;10
582;10
583;10
584;10
585;10
586;10
587;10
588;9
589;9
590;9
591;9
592;9
593;9
594;9
595;9
596;9
597;9
598;9
599;9
600;9
601;9
602;9
603;9
604;9
605;9
606;9
607;9
608;9
609;9
610;9
611;9
612;9
613;9
614;9
615;9
616;9
617;9
618;9
619;9
620;9
621;9
622;9
623;10
624;9
625;8
626;9
627;9
628;9
629;9
630;9
631;9
632;10
633;11
634;11
635;12
636;12
637;12
638;12
639;11
640;11
641;10
642;11
643;12
644;10
645;9
646;10
647;8
648;8
649;8
650;8
651;9
652;9
653;9
654;9
655;9
656;9
657;9
658;9
659;9
660;9
661;11
662;11
663;11
664;11
665;11
666;11
667;11
668;11
669;11
670;11
671;11
672;11
673;11
674;11
675;12
676;12
677;12
678;12
679;11
680;11
681;11
682;11
683;11
684;11
685;11
686;11
687;11
688;11
689;11
690;10
691;11
692;12
693;11
694;11
695;12
696;12
697;11
698;11
699;11
700;11
701;10
702;10
703;11
704;10
705;11
706;10
707;10
708;10
709;10
710;10
711;10
712;10
713;10
714;10
715;11
716;11
717;10
718;10
719;11
720;12
721;12
722;12
723;12
724;12
725;12
726;11
727;11
728;11
729;10
730;11
731;11
732;11
733;12
734;13
735;13
736;13
737;13
738;13
739;13
740;13
741;13
742;15
743;16
744;15
745;15
746;15
747;15
748;15
749;15
750;15
751;15
752;14
753;13
754;15
755;14
756;14
757;14
758;14
759;14
760;14
761;14
762;13
763;13
764;14
765;14
766;14
767;14
768;14
769;14
770;14
771;15
772;15
773;15
774;15
775;17
776;18
777;18
778;19
779;19
780;19
781;19
782;19
783;19
784;18
785;18
786;18
787;17
788;17
789;16
790;16
791;16
792;16
793;16
794;16
795;16
796;16
797;16
798;16
799;16
800;15
801;14
802;14
803;14
804;14
805;14
806;14
807;14
808;14
809;14
810;14
811;13
