gen;sp
0;1
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
119;1
120;1
121;1
122;1
123;1
124;1
125;1
126;1
127;1
128;1
129;1
130;1
131;1
132;1
133;1
134;1
135;1
136;1
137;1
138;1
139;1
140;1
141;1
142;1
143;1
144;1
145;1
146;1
147;1
148;1
149;1
150;1
151;1
152;1
153;1
154;1
155;1
156;1
157;1
158;1
159;1
160;1
161;1
162;1
163;1
164;1
165;1
166;1
167;1
168;1
169;1
170;1
171;1
172;1
173;1
174;1
175;1
176;1
177;1
178;1
179;1
180;1
181;1
182;1
183;1
184;1
185;1
186;1
187;1
188;1
189;1
190;1
191;1
192;1
193;1
194;1
195;1
196;1
197;1
198;1
199;1
200;1
201;1
202;1
203;1
204;1
205;1
206;1
207;1
208;1
209;1
210;1
211;1
212;1
213;1
214;1
215;1
216;1
217;1
218;1
219;1
220;1
221;1
222;1
223;1
224;1
225;1
226;1
227;1
228;1
229;1
230;1
231;1
232;1
233;1
234;1
235;1
236;1
237;1
238;1
239;1
240;1
241;1
242;1
243;1
244;1
245;1
246;1
247;1
248;1
249;1
250;1
251;1
252;1
253;1
254;1
255;1
256;1
257;1
258;1
259;1
260;1
261;1
262;1
263;1
264;1
265;1
266;1
267;1
268;1
269;1
270;1
271;1
272;1
273;1
274;1
275;1
276;1
277;1
278;1
279;1
280;1
281;1
282;1
283;1
284;1
285;1
286;1
287;1
288;1
289;1
290;1
291;1
292;1
293;1
294;1
295;1
296;1
297;1
298;1
299;1
300;1
301;1
302;1
303;1
304;1
305;1
306;1
307;1
308;1
309;1
310;1
311;1
312;1
313;1
314;1
315;1
316;1
317;1
318;1
319;1
320;1
321;1
322;1
323;1
324;1
325;1
326;1
327;1
328;1
329;1
330;1
331;1
332;1
333;1
334;1
335;1
336;1
337;1
338;1
339;1
340;1
341;1
342;1
343;1
344;1
345;1
346;1
347;1
348;1
349;1
350;1
351;1
352;1
353;1
354;1
355;1
356;1
357;1
358;1
359;1
360;1
361;1
362;1
363;1
364;1
365;1
366;1
367;1
368;1
369;1
370;1
371;1
372;1
373;1
374;1
375;1
376;1
377;1
378;1
379;1
380;1
381;1
382;1
383;1
384;1
385;1
386;1
387;1
388;1
389;1
390;1
391;1
392;1
393;1
394;1
395;1
396;1
397;1
398;1
399;1
400;1
401;1
402;1
403;1
404;1
405;1
406;1
407;1
408;1
409;1
410;1
411;1
412;1
413;1
414;1
415;1
416;1
417;1
418;1
419;1
420;1
421;1
422;2
423;2
424;2
425;2
426;2
427;3
428;3
429;4
430;4
431;4
432;4
433;4
434;4
435;4
436;4
437;4
438;4
439;4
440;4
441;4
442;4
443;4
444;4
445;4
446;3
447;3
448;3
449;4
450;5
451;5
452;4
453;5
454;5
455;4
456;5
457;6
458;6
459;6
460;6
461;6
462;6
463;6
464;6
465;5
466;6
467;6
468;6
469;6
470;6
471;6
472;6
473;6
474;6
475;6
476;6
477;6
478;6
479;6
480;6
481;6
482;6
483;6
484;6
485;6
486;6
487;6
488;6
489;6
490;6
491;6
492;6
493;6
494;6
495;6
496;6
497;6
498;6
499;6
500;6
501;6
502;6
503;6
504;6
505;6
506;6
507;6
508;7
509;7
510;7
511;7
512;7
513;7
514;7
515;8
516;8
517;8
518;8
519;8
520;8
521;9
522;9
523;9
524;9
525;9
526;9
527;9
528;9
529;9
530;9
531;9
532;9
533;9
534;9
535;9
536;9
537;9
538;9
539;9
540;9
541;9
542;9
543;9
544;9
545;9
546;9
547;9
548;9
549;9
550;9
551;9
552;9
553;9
554;9
555;9
556;9
557;9
558;9
559;9
560;9
561;9
562;9
563;9
564;9
565;9
566;9
567;9
568;9
569;9
570;9
571;9
572;10
573;10
574;10
575;10
576;10
577;11
578;10
579;10
580;10
581;10
582;10
583;11
584;11
585;10
586;11
587;12
588;12
589;12
590;12
591;12
592;12
593;13
594;14
595;13
596;13
597;13
598;13
599;13
600;12
601;12
602;12
603;12
604;12
605;12
606;12
607;12
608;12
609;12
610;12
611;12
612;12
613;12
614;12
615;12
616;12
617;12
618;12
619;12
620;12
621;12
622;12
623;12
624;13
625;13
626;13
627;14
628;14
629;14
630;14
631;12
632;13
633;13
634;13
635;13
636;14
637;14
638;14
639;14
640;14
641;14
642;14
643;14
644;14
645;14
646;14
647;12
648;13
649;13
650;14
651;14
652;13
653;13
654;13
655;13
656;13
657;13
658;13
659;13
660;14
661;15
662;16
663;16
664;16
665;17
666;16
667;15
668;17
669;17
670;17
671;18
672;18
673;18
674;18
675;18
676;18
677;18
678;19
679;19
680;19
681;19
682;19
683;19
684;19
685;19
686;20
687;20
688;20
689;20
690;19
691;19
692;19
693;18
694;19
695;18
696;18
697;18
698;17
699;17
700;18
701;18
702;18
703;18
704;18
705;18
706;18
707;18
708;18
709;16
710;18
711;17
712;19
713;21
714;21
715;21
716;21
717;21
718;20
719;20
720;20
721;22
722;22
723;22
724;22
725;23
726;23
727;22
728;21
729;22
730;22
731;22
732;22
733;22
734;21
735;21
736;19
737;21
738;20
739;20
740;21
741;21
742;20
743;22
744;20
745;20
746;18
747;15
748;16
749;16
750;17
751;17
752;17
753;17
754;18
755;18
756;18
757;18
758;18
759;18
760;19
761;19
762;19
763;19
764;19
765;18
766;19
767;19
768;22
769;22
770;21
771;23
772;23
773;23
774;23
775;24
776;22
777;23
778;23
779;23
780;23
781;22
782;24
783;24
784;21
785;23
786;25
787;25
788;25
789;25
790;25
791;26
792;25
793;25
794;25
795;26
796;26
797;26
798;25
799;26
800;25
801;24
802;26
803;26
804;27
805;27
806;28
807;28
808;28
809;28
810;28
811;29
